grafema;fonema;pensar
([aãeioõu])-(\'')?r([aãeioõu]);\1-\2R\3;R tepe entre vogais (4x na mesma palavra)
([bcdfgkptv])r([aãeioõu]);\1R\2;R tepe em ataque complexo
([bcdfgkptv])r([aãeioõu]);\1R\2;R tepe em ataque complexo (2x na mesma palavra)
([bcdfgkptv])r([aãeioõu]);\1R\2;R tepe em ataque complexo (3x na mesma palavra)
rr;h;R forte -> h
\br;h;R forte -> h
ss;s;na
s[cç];s;na
ç;s;na
ge;Ze;na
gi;Zi;na
j([aãeioõu]);Z\1;na
que;ke;na
qua;kwa;na
qui;ki;na
quo;kwo;na
gua;gwa;na
guã;gwã;na
gue;ge;na
gui;gi;na
guo;gwo;na
z\b;s;z seguido de espaço: final de palavra
ce;se;na
ci;si;na
c([aãoõu]);k\1;na
c([Rl])([aeiouã]);k\1\2;na
ah;a;interjeicoes
eh;e;na
oh;o;na
al$;aw;vocalizacao de /l/
al-;aw-;na
al ;aw ;seguido de espaço
el$;ew;na
el-;ew-;na
el ;ew ;na
il$;iw;na
il-;iw-;na
il ;iw ;na
ol$;ow;na
ol-;ow-;na
ol ;ow ;na
ul$;uw;na
ul-;uw-;na
ul ;uw ;na
([aeou])i;\1j;na
au;aw;na
eu;ew;na
iu;iw;na
ou;ow;na
'(.{2}-)(\'')(.{1}I)';\2\1\3;EPENTESE - ACENTO
'(.{1}-)(\'')(.{1}I)';\2\1\3;na
'b\''li-tIs';'\''bli-tIs';na
'b(\'')ur-gI-mA';\1bur-gI-mA;nao ta funfando nao sei pq!
'u-(\'')dI-sO';\1hu-dI-sO;nao ta funfando nao sei pq!
I;i;I epentético -> i
'(\'')(.)(ãw-)(zi-N)([oa])(s)?';\2\3\1\4\5\6;DIMINUTIVO ZINHO - ACENTO
ã;\~a;VOGAIS NASAIS
õ;\~o;ditongos nasais
a([mn]);\~a;na
e([mn]);\~e;na
i([mn]);\~i;na
o([mn]);\~o;na
u([mn]);\~u;na
'ke-ti-(\'')Su-pii';ke-ti-\1Su-pi;nao sei porque tá acontecendo ii mas isso resolve
'(\'')ses-kiis';'\''ses-kis';na
